NOME_ALUNA,NOTA_M,NOTA_CN,NOTA_L,NOTA_CH,NOTA_R,NOTA_CANDIDATO,IDADE,REGIAO,COTA
Adriana Nunes,655,553,832,883,739,732.7,21,NE,Ampla
Amanda Pereira,916,910,560,541,806,747.3,22,NE,Cota
Aline Cardoso,755,766,638,674,719,710.7,23,SE,Cota
Bárbara Cunha,777,779,705,742,755,752.2,17,N,Ampla
Bruna Teixeira,538,459,569,593,578,547.9,26,CO,Ampla
Carolina Mendes,584,559,522,505,595,553.6,24,NE,Cota
Cláudia Araújo,493,536,752,722,600,621.3,26,N,Ampla
Cristina Borges,814,784,677,695,766,747.9,20,S,Cota
Débora Vieira,763,791,603,577,679,683.3,20,S,Cota
Elaine Correia,822,835,538,520,756,694.7,25,NE,Ampla
Érica Nascimento,492,477,594,565,529,532.0,24,SE,Ampla
Flávia Moreira,953,979,674,652,780,807.9,17,S,Ampla
Geovana Pinto,799,742,738,738,800,763.9,23,SE,Cota
Giovana Ramos,547,536,721,732,614,630.4,17,NE,Cota
Ingrid Cavalcanti,579,581,577,601,596,587.3,23,NE,Cota
Jéssica Lopes,549,548,619,612,655,596.9,19,NE,Ampla
Karina Fonseca,662,616,848,890,849,773.6,23,NE,Ampla
Larissa Dias,733,778,772,767,749,760.3,22,SE,Cota
Letícia Carvalho,657,710,599,587,663,643.7,25,NE,Ampla
Lívia Ribeiro,607,530,760,769,705,674.7,19,SE,Ampla
Lorena Machado,758,792,817,805,855,805.8,17,NE,Cota
Luana Miranda,519,452,561,604,605,549.0,19,SE,Cota
Mariana Freitas,591,572,843,799,693,700.1,17,NE,Ampla
Melissa Campos,646,682,699,675,776,696.3,18,NE,Ampla
Natália Gomes,662,654,748,743,726,707.1,18,S,Cota
Patrícia Azevedo,826,803,727,754,877,797.8,23,N,Cota
Priscila Barros,561,542,554,594,632,577.0,17,N,Cota
Rafaela Andrade,692,607,769,752,682,700.8,20,CO,Cota
Renata Coelho,704,645,750,711,728,708.1,26,N,Ampla
Tatiane Silva,546,567,643,608,591,591.5,22,SE,Cota
