NOME_ALUNA,NOTA_M,NOTA_CN,NOTA_L,NOTA_CH,NOTA_R,NOTA_CANDIDATO,IDADE,REGIAO,COTA
Ana Silva,850,820,700,680,900,790,18,SE,Ampla
Beatriz Santos,650,620,750,780,820,724,19,SE,Cota
Camila Souza,900,880,680,650,920,806,17,S,Ampla
Daniela Lima,580,600,810,850,780,724,20,NE,Cota
Eduarda Costa,720,690,730,710,860,742,18,SE,Ampla
Fernanda Alves,950,920,620,610,940,808,18,S,Ampla
Gabriela Rocha,610,580,820,870,760,728,21,N,Cota
Helena Martins,780,760,700,690,880,762,19,SE,Ampla
Isabela Ferreira,670,650,790,810,840,752,20,CO,Cota
Juliana Gomes,890,860,710,700,930,818,17,SE,Ampla
